Row,Instruction,Query,Distance
128,Write XQL query to Firewall URL Log and display log for IP address 192.168.1.10,"dataset = panw_ngfw_url_raw | filter source_ip = ""192.168.1.10""  | fields uri, referer | sort desc _time",0.9736982025497375
212,Write XQL query to Firewall URL Logs to display log entry of 192.168.1.1 and sort in descending order or time,"dataset = panw_ngfw_url_raw | filter source_ip = ""192.168.1.1""  | fields uri, referer | sort desc _time",0.9404568430315354
2,Write XQL query to Firewall Logs and return 7 results,dataset = panw_ngfw_traffic_raw | limit 7,0.8757659716883057
170,Write XQL query to Firewall threat logs to display top 10 Apps With Threats By and sort by count ,"dataset = panw_ngfw_threat_raw | comp count(_id) as count by app , severity | fields app, severity, count | limit 10 | sort desc count",0.8716610962001001
4,Write XQL query to Firewall Logs and expand array of array_values field and return 3 results,dataset=panw_ngfw_traffic_raw | arrayexpand array_values limit 3,0.8677390969389106
119,Write XQL query to Firewall Threat logs to display chart of all Firewall actions,"dataset = panw_ngfw_threat_raw | comp count(_id) as Count by action | view graph type = pie header = ""Threat Actions"" xaxis = action yaxis = Count",0.86642366416785
15,Write XQL query to Firewall Logs for NGFW Unique DNS Queries Sinkholed by Host IP,"dataset = panw_ngfw_threat_raw | filter `action` = \""sinkhole\"" and `app` = \""dns\"" | join (preset = network_story ) as XAN XAN.action_remote_ip = dest_ip and XAN.action_local_ip = source_ip and XAN.action_remote_port = dest_port and XAN.action_local_port = source_port | filter dns_query_name not contains \""wpad.\"" | comp count_distinct(dns_query_name) as host_query_count by action_local_ip | sort desc host_query_count | limit 100",0.8555643453085071
171,Write XQL query to Firewall threat logs to get Top 20 Virus and Malware Events and sort by count,"dataset = panw_ngfw_threat_raw | filter sub_type = ""virus"" or sub_type contains ""virus"" | comp count(_id ) as count by file_name , sub_type , users , source_ip , dest_ip, action | fields file_name , sub_type , users , source_ip , dest_ip, action, count | limit 20 | sort desc count",0.855273868668381
166,Write XQL query to highlight Remote Access Activity from Firewall threat log,"dataset = panw_ngfw_traffic_raw | filter app_sub_category = ""remote-access"" | comp count(_id) as Total by app, from_zone, to_zone, source_ip , dest_ip, dest_port | sort desc Total",0.8528735600064195
217,Write XQL query to Firewall File data and highlight File Activity for low risk application,"dataset = panw_ngfw_filedata_raw | filter (risk_of_app != ""Low"") | comp count(_id) as total by risk_of_app , users, app, file_name, file_type | fields risk_of_app, app, file_name , file_type, users, total | sort desc Total",0.8455083509282663
193,Wirite XQL query to Firewall logs to find remote access connections via port 3389,"dataset = panw_ngfw_traffic_raw | filter dest_port = 3389 | fields from_zone , to_zone, source_ip , dest_ip , dest_port",0.8407580575740575
